,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,_equity_curve,_trades,Sector
A,14/12/2012,9/12/2022,3647 days,39.80119284,13148.54224,16803.92405,1.142632584,486.4557499,0.113906084,14.10916864,0.008073196,0.011523522,0.002229144,-51.09858194,-9.383515537,1747 days,291 days,119,28.57142857,14.97372446,-7.352700922,0.009552556,46 days,12 days,1.054749026,0.092856897,0.027116675,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
2012-12-20  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  13148.542236     0.217531              NaT
2022-12-06  13148.542236     0.217531              NaT
2022-12-07  13148.542236     0.217531              NaT
2022-12-08  13148.542236     0.217531              NaT
2022-12-09  13148.542236     0.217531        1747 days

[2515 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     392       205      212   33.098291   35.002920   746.614452   0.057545 2013-10-09 2013-10-18   9 days
1     405       216      226   33.873581   33.161748  -288.292371  -0.021014 2013-10-24 2013-11-07  14 days
2     347       279      284   38.720181   37.982274  -256.053527  -0.019057 2014-01-27 2014-02-03   7 days
3     355       295      321   37.152786   36.052419  -390.630208  -0.029617 2014-02-19 2014-03-27  36 days
4     352       321      332   36.322592   35.447694  -307.963970  -0.024087 2014-03-27 2014-04-11  15 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
114  -108      2415     2420  126.716312  130.876576  -449.308411  -0.032831 2022-07-21 2022-07-28   7 days
115  -101      2420     2422  130.621717  134.639848  -405.831245  -0.030762 2022-07-28 2022-08-01   4 days
116   -97      2422     2434  132.933064  136.762218  -371.427979  -0.028805 2022-08-01 2022-08-17  16 days
117   -97      2478     2482  128.702087  133.139148  -430.394977  -0.034475 2022-10-19 2022-10-25   6 days
118    88      2490     2495  136.352162  148.224579  1044.772723   0.087072 2022-11-04 2022-11-11   7 days

[119 rows x 10 columns]",Healthcare
AAL,14/12/2012,9/12/2022,3647 days,45.28827038,8270.376103,19376.47865,-36.38172228,11.86096227,-4.430537945,28.04865203,0,0,0,-65.55369775,-13.50763275,3069 days,450 days,139,25.89928058,30.45871829,-16.82495204,-0.325526335,78 days,11 days,0.976122056,-0.072389211,-0.513642581,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
2012-12-20  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05   8002.116484     0.587019              NaT
2022-12-06   7886.396344     0.592991              NaT
2022-12-07   8296.676203     0.571817              NaT
2022-12-08   8270.376103     0.573174              NaT
2022-12-09   8270.376103     0.573174        3069 days

[2515 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     586       241      243   22.179840  21.417601  -446.672090  -0.034366 2013-11-29 2013-12-03   4 days
1     593       243      245   21.150199  20.377570  -458.168643  -0.036531 2013-12-03 2013-12-05   2 days
2     572       245      247   21.112415  23.364439  1288.157538   0.106668 2013-12-05 2013-12-09   4 days
3     571       261      265   23.407860  25.549047  1222.618152   0.091473 2013-12-30 2014-01-06   7 days
4     450       294      304   32.410146  35.212601  1261.104910   0.086468 2014-02-18 2014-03-04  14 days
..    ...       ...      ...         ...        ...          ...        ...        ...        ...      ...
134  -573      2451     2459   14.441060  12.928186   866.877204   0.104762 2022-09-12 2022-09-22  10 days
135  -719      2469     2475   12.704540  13.384531  -488.914148  -0.053524 2022-10-06 2022-10-14   8 days
136  -661      2475     2477   13.083780  13.834736  -496.382462  -0.057396 2022-10-14 2022-10-18   4 days
137  -596      2477     2483   13.672600  14.415337  -442.671173  -0.054323 2022-10-18 2022-10-26   8 days
138  -526      2496     2513   14.650640  13.600000   552.636600   0.071713 2022-11-14 2022-12-08  24 days

[139 rows x 10 columns]",Industrials
AAP,14/12/2012,9/12/2022,3647 days,52.44532803,30264.30103,42948.56916,132.8023156,113.8061305,8.835778793,22.62824521,0.390475652,0.67051592,0.138855823,-63.6327565,-4.548887147,1844 days,70 days,143,32.86713287,20.60865009,-10.68789734,0.596131267,74 days,13 days,1.372438401,0.759626094,0.917574564,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
2012-12-20  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  29917.380190     0.303414              NaT
2022-12-06  30472.060548     0.290499              NaT
2022-12-07  30252.541505     0.295610              NaT
2022-12-08  30264.301027     0.295336              NaT
2022-12-09  30264.301027     0.295336        1844 days

[2515 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     170       205      210   76.038737   91.709294  2663.994725   0.206087 2013-10-09 2013-10-16   7 days
1     168       225      243   93.073754   98.723944   949.232068   0.060707 2013-11-06 2013-12-03  27 days
2     151       278      283  109.640329  107.291320  -354.700268  -0.021425 2014-01-24 2014-01-31   7 days
3     155       285      287  104.223503  114.629320  1612.901553   0.099841 2014-02-04 2014-02-06   2 days
4     151       301      321  118.195629  115.469130  -411.701235  -0.023068 2014-02-27 2014-03-27  28 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
138  -199      2468     2474  167.304719  172.606478 -1055.049977  -0.031689 2022-10-05 2022-10-13   8 days
139  -189      2474     2482  171.236842  176.674611 -1027.738367  -0.031756 2022-10-13 2022-10-25  12 days
140  -173      2482     2484  181.037194  186.404820  -928.599279  -0.029649 2022-10-25 2022-10-27   2 days
141  -162      2484     2488  187.703842  193.329311  -911.325964  -0.029970 2022-10-27 2022-11-02   6 days
142  -196      2505     2513  150.318755  146.589996   730.836723   0.024806 2022-11-28 2022-12-08  10 days

[143 rows x 10 columns]",Consumer Cyclical
AAPL,14/12/2012,9/12/2022,3647 days,44.9304175,13126.84484,17546.68195,0.975729577,800.0260229,0.097340394,17.51209683,0.005558466,0.008066516,0.002489938,-39.09349362,-8.83411449,2092 days,225 days,155,28.38709677,14.93470602,-5.567401112,0.006856644,56 days,10 days,1.055816896,0.098978266,0.018413425,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
2012-12-20  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  12788.543911     0.271170              NaT
2022-12-06  13104.744015     0.253150              NaT
2022-12-07  13272.194119     0.243607              NaT
2022-12-08  13126.844845     0.251890              NaT
2022-12-09  13126.844845     0.251890         340 days

[2515 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0     793       235      240   16.390091   17.098309  561.617314   0.043210 2013-11-20 2013-11-27   7 days
1     768       251      254   17.644963   17.322494 -247.655764  -0.018275 2013-12-13 2013-12-18   5 days
2     759       254      264   17.528483   17.194224 -253.702585  -0.019069 2013-12-18 2014-01-03  16 days
3     758       264      269   17.216910   16.890610 -247.335523  -0.018952 2014-01-03 2014-01-10   7 days
4     755       269      280   16.961036   16.627319 -251.955932  -0.019675 2014-01-10 2014-01-28  18 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
150   -91      2415     2421  155.039306  159.362516 -393.412140  -0.027885 2022-07-21 2022-07-29   8 days
151    82      2438     2441  167.564456  164.053972 -287.859682  -0.020950 2022-08-23 2022-08-26   3 days
152   -92      2480     2482  146.975464  152.017692 -463.884954  -0.034307 2022-10-21 2022-10-25   4 days
153   -86      2482     2485  152.035316  156.879324 -416.584617  -0.031861 2022-10-25 2022-10-28   3 days
154   -85      2496     2513  147.983439  142.649994  453.342815   0.036041 2022-11-14 2022-12-08  24 days

[155 rows x 10 columns]",Technology
ABBV,2/1/2013,9/12/2022,3628 days,45.60702875,13866.07589,17428.69024,6.662122198,599.0618599,0.651191394,16.58802906,0.039256707,0.056329778,0.02017969,-32.26964363,-9.213938886,1193 days,233 days,123,30.08130081,11.06408348,-7.871875945,0.052522161,88 days,13 days,1.081785235,0.155772932,0.128250949,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2013-01-02  13000.000000     0.000000              NaT
2013-01-03  13000.000000     0.000000              NaT
2013-01-04  13000.000000     0.000000              NaT
2013-01-07  13000.000000     0.000000              NaT
2013-01-08  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  13866.075886     0.204411              NaT
2022-12-06  13866.075886     0.204411              NaT
2022-12-07  13866.075886     0.204411              NaT
2022-12-08  13866.075886     0.204411              NaT
2022-12-09  13866.075886     0.204411        1193 days

[2504 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     390       214      216   33.254280   32.510938  -289.903332  -0.022353 2013-11-06 2013-11-08   2 days
1     364       254      265   34.873731   33.985770  -323.217954  -0.025462 2014-01-06 2014-01-22  16 days
2     361       265      267   34.236179   33.442857  -286.389206  -0.023172 2014-01-22 2014-01-24   2 days
3     362       267      268   33.336330   32.546729  -285.835540  -0.023686 2014-01-24 2014-01-27   3 days
4     361       268      272   32.666666   34.848208   787.536589   0.066782 2014-01-27 2014-01-31   4 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
118    97      2403     2410  146.494736  143.034072  -335.684469  -0.023623 2022-07-20 2022-07-29   9 days
119   100      2411     2431  139.085202  134.871669  -421.353268  -0.030295 2022-08-01 2022-08-29  28 days
120   -97      2438     2443  138.826359  141.844098  -292.720644  -0.021738 2022-09-08 2022-09-15   7 days
121   -92      2464     2469  142.654122  146.814649  -382.768481  -0.029165 2022-10-14 2022-10-21   7 days
122    87      2476     2491  147.203824  159.028537  1028.750090   0.080329 2022-11-01 2022-11-22  21 days

[123 rows x 10 columns]",Healthcare
ABC,13/12/2012,9/12/2022,3648 days,47.61526232,9872.733763,15141.84522,-24.05589413,351.1956715,-2.718466504,15.4598107,0,0,0,-63.64482909,-8.818727911,2731 days,316 days,134,26.11940299,13.43440797,-4.500804264,-0.208210376,69 days,13 days,0.936921627,-0.118769086,-0.717304622,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-13  13000.000000     0.000000              NaT
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05   9872.733763     0.347983              NaT
2022-12-06   9872.733763     0.347983              NaT
2022-12-07   9872.733763     0.347983              NaT
2022-12-08   9872.733763     0.347983              NaT
2022-12-09   9872.733763     0.347983        2731 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0     216       246      252   60.160016   59.244858 -197.674082  -0.015212 2013-12-05 2013-12-13   8 days
1     214       252      269   59.559639   62.200642  565.174610   0.044342 2013-12-13 2014-01-09  27 days
2     217       273      278   61.386872   60.478197 -197.182540  -0.014802 2014-01-15 2014-01-23   8 days
3     217       278      279   60.595077   59.655657 -203.854109  -0.015503 2014-01-23 2014-01-24   1 days
4     221       279      284   58.515479   57.438015 -238.119652  -0.018413 2014-01-24 2014-01-31   7 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
129    63      2427     2434  140.720424  151.270586  664.660215   0.074973 2022-08-05 2022-08-16  11 days
130    64      2440     2443  148.071079  144.796999 -209.541113  -0.022112 2022-08-24 2022-08-29   5 days
131    64      2444     2453  145.274084  141.779221 -223.671231  -0.024057 2022-08-30 2022-09-13  14 days
132   -64      2469     2481  141.729233  145.015659 -210.331270  -0.023188 2022-10-05 2022-10-21  16 days
133    58      2496     2508  153.316014  168.796897  897.891192   0.100974 2022-11-11 2022-11-30  19 days

[134 rows x 10 columns]",Healthcare
ABMD,13/12/2012,9/12/2022,3648 days,49.80127186,39538.17364,56688.22596,204.1397972,2804.271624,11.78515296,35.0535692,0.336204079,0.635363165,0.277641564,-42.4473655,-7.458874851,1000 days,69 days,130,31.53846154,40.75225636,-9.204876278,0.860031155,124 days,14 days,1.440362511,1.166925008,1.022896248,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-13  13000.000000     0.000000              NaT
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  39538.173639     0.302533              NaT
2022-12-06  39538.173639     0.302533              NaT
2022-12-07  39538.173639     0.302533              NaT
2022-12-08  39538.173639     0.302533              NaT
2022-12-09  39538.173639     0.302533         449 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     472       245      250   27.494881   26.581013  -431.345451  -0.033238 2013-12-04 2013-12-11   7 days
1     471       251      269   26.653200   29.206328  1202.522894   0.095791 2013-12-12 2014-01-09  28 days
2     495       275      279   27.815520   26.815405  -495.057240  -0.035955 2014-01-17 2014-01-24   7 days
3     501       279      283   26.472840   29.490000  1511.597007   0.113972 2014-01-24 2014-01-30   6 days
4     518       305      312   28.506901   27.628385  -455.071366  -0.030818 2014-03-04 2014-03-13   9 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
125  -141      2422     2425  292.423990  301.920953 -1339.071842  -0.032477 2022-07-29 2022-08-03   5 days
126  -152      2448     2450  263.362235  272.499396 -1388.848596  -0.034694 2022-09-06 2022-09-08   2 days
127  -140      2450     2460  275.018867  247.875211  3800.111902   0.098697 2022-09-08 2022-09-22  14 days
128  -161      2468     2484  263.481990  272.989750 -1530.749475  -0.036085 2022-10-04 2022-10-26  22 days
129  -153      2484     2488  267.713500  277.394193 -1481.146043  -0.036161 2022-10-26 2022-11-01   6 days

[130 rows x 10 columns]",Healthcare
ABT,13/12/2012,9/12/2022,3648 days,50.2782194,17464.18333,19352.73985,34.3398718,314.5515709,3.0008658,14.4528597,0.207631283,0.310856029,0.086073157,-34.86413085,-4.395238247,1252 days,106 days,146,30.82191781,10.43113497,-7.838837741,0.2029971,62 days,12 days,1.18820145,0.270173538,0.66035317,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-13  13000.000000     0.000000              NaT
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  17710.312439     0.084868              NaT
2022-12-06  17962.962937     0.071813              NaT
2022-12-07  17808.113434     0.079814              NaT
2022-12-08  17464.183334     0.097586              NaT
2022-12-09  17464.183334     0.097586        1214 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -455       209      211   28.536835   29.059470  -237.798926  -0.018314 2013-10-14 2013-10-16   2 days
1     409       223      235   31.145537   32.479459   545.574002   0.042829 2013-11-01 2013-11-19  18 days
2     422       245      250   31.482622   30.923620  -235.898956  -0.017756 2013-12-04 2013-12-11   7 days
3     427       251      255   30.580956   31.863318   547.568410   0.041933 2013-12-12 2013-12-18   6 days
4     422       277      278   32.260280   31.612125  -273.521385  -0.020091 2014-01-22 2014-01-23   1 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
141  -149      2432     2439  110.734554  105.301698   809.495494   0.049062 2022-08-12 2022-08-23  11 days
142  -161      2451     2458  107.754609  101.151466  1063.106108   0.061279 2022-09-09 2022-09-20  11 days
143  -179      2469     2478  102.688712  105.320491  -471.088458  -0.025629 2022-10-05 2022-10-18  13 days
144  -172      2495     2505  104.021543  106.869333  -489.819863  -0.027377 2022-11-10 2022-11-25  15 days
145  -163      2505     2514  106.746079  106.919998   -28.348810  -0.001629 2022-11-25 2022-12-08  13 days

[146 rows x 10 columns]",Healthcare
ACGL,13/12/2012,9/12/2022,3648 days,50.59618442,27208.00749,32263.11448,109.2923653,307.5113378,7.677839431,16.1518684,0.475353021,0.783097391,0.347784933,-22.07640039,-4.254723765,840 days,63 days,130,33.84615385,27.28646531,-6.06901611,0.570375514,62 days,14 days,1.447259725,0.679754582,1.295515213,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-13  13000.000000     0.000000              NaT
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  26583.896051     0.176028              NaT
2022-12-06  27199.027285     0.156962              NaT
2022-12-07  27023.917559     0.162390              NaT
2022-12-08  27208.007490     0.156684              NaT
2022-12-09  27208.007490     0.156684         226 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     675       225      244   19.248419  19.849169   405.505863   0.031210 2013-11-05 2013-12-03  28 days
1     688       245      250   19.475540  19.196924  -191.687846  -0.014306 2013-12-04 2013-12-11   7 days
2     689       251      263   19.164920  19.800955   438.227649   0.033187 2013-12-12 2013-12-31  19 days
3     733       266      271   18.617160  18.262053  -260.293077  -0.019074 2014-01-06 2014-01-13   7 days
4     730       273      278   18.336599  18.018804  -231.990575  -0.017331 2014-01-15 2014-01-23   8 days
..    ...       ...      ...         ...        ...          ...        ...        ...        ...      ...
125  -614      2430     2432   45.139540  46.102590  -591.313146  -0.021335 2022-08-10 2022-08-12   2 days
126   582      2439     2443   46.582982  45.730415  -496.194087  -0.018302 2022-08-23 2022-08-29   6 days
127   581      2444     2448   45.831482  44.944228  -515.494341  -0.019359 2022-08-30 2022-09-06   7 days
128  -574      2466     2468   45.448921  46.875012  -818.576136  -0.031378 2022-09-30 2022-10-04   4 days
129   449      2498     2514   56.322419  60.560001  1902.674449   0.075238 2022-11-15 2022-12-08  23 days

[130 rows x 10 columns]",Financial Services
ACN,13/12/2012,9/12/2022,3648 days,40.42130366,13693.66086,15007.47017,5.335852763,397.7640075,0.522020827,14.03892825,0.037183809,0.053496726,0.01790577,-29.15377736,-9.423157772,1086 days,313 days,123,28.45528455,9.836619104,-7.859427313,0.041468184,62 days,11 days,1.07299344,0.113923515,0.133182029,Mean_Reversion_box3_4,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-12-13  13000.000000     0.000000              NaT
2012-12-14  13000.000000     0.000000              NaT
2012-12-17  13000.000000     0.000000              NaT
2012-12-18  13000.000000     0.000000              NaT
2012-12-19  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-12-05  13693.660859     0.087544              NaT
2022-12-06  13693.660859     0.087544              NaT
2022-12-07  13693.660859     0.087544              NaT
2022-12-08  13693.660859     0.087544              NaT
2022-12-09  13693.660859     0.087544         442 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -210       209      215   61.860418   63.028613 -245.321053  -0.018884 2013-10-14 2013-10-22   8 days
1    -202       215      221   62.958673   64.027829 -215.969447  -0.016982 2013-10-22 2013-10-30   8 days
2    -198       221      226   63.214063   64.148024 -184.924443  -0.014775 2013-10-30 2013-11-06   7 days
3     186       240      243   66.134355   65.059323 -199.955847  -0.016255 2013-11-26 2013-12-02   6 days
4     186       245      249   65.023151   63.872944 -213.938525  -0.017689 2013-12-04 2013-12-10   6 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
118   -54      2479     2482  263.531878  272.089701 -462.122484  -0.032474 2022-10-19 2022-10-24   5 days
119   -51      2482     2484  274.759378  283.460983 -443.781877  -0.031670 2022-10-24 2022-10-26   2 days
120   -48      2484     2486  279.310255  287.560893 -396.030641  -0.029539 2022-10-26 2022-10-28   2 days
121   -45      2486     2490  287.204439  265.102621  994.581806   0.076955 2022-10-28 2022-11-03   6 days
122   -48      2496     2508  289.509816  299.573774 -483.069949  -0.034762 2022-11-11 2022-11-30  19 days

[123 rows x 10 columns]",Technology
