,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,_equity_curve,_trades,Sector
A,15/11/2012,11/11/2022,3648 days,57.63116057,10231.57952,20146.35905,-21.29554214,533.8820059,-2.369975368,17.22218162,0,0,0,-63.55061096,-4.681301018,2956 days,137 days,130,28.46153846,12.54179977,-4.208416834,-0.171587665,56 days,16 days,0.976591608,-0.049337383,-0.355783649,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  10415.838333     0.482992              NaT
2022-11-08  10415.838333     0.482992              NaT
2022-11-09  10415.838333     0.482992              NaT
2022-11-10  10415.838333     0.482992              NaT
2022-11-11  10231.579522     0.492138        2956 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -433       123      148   29.994801   27.844212   931.205150   0.071699 2013-05-15 2013-06-20  36 days
1     499       148      187   27.899900   31.399050  1746.075648   0.125418 2013-06-20 2013-08-15  56 days
2    -496       192      211   31.586450   32.915740  -659.327587  -0.042084 2013-08-22 2013-09-19  28 days
3     452       246      252   33.164563   36.325535  1428.759482   0.095312 2013-11-07 2013-11-15   8 days
4    -453       252      266   36.252884   36.259396    -2.949867  -0.000180 2013-11-15 2013-12-06  21 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
125   -67      2454     2470  141.760071  137.392227   292.645511   0.030812 2022-08-17 2022-09-09  23 days
126   -71      2470     2482  137.117443  120.905160  1151.072079   0.118236 2022-09-09 2022-09-27  18 days
127   -83      2487     2488  131.147184  132.639999  -123.903706  -0.011383 2022-10-04 2022-10-05   1 days
128   -82      2488     2503  132.374719  137.945599  -456.812158  -0.042084 2022-10-05 2022-10-26  21 days
129   -71      2514     2514  146.007403  146.300003   -20.774600  -0.002004 2022-11-10 2022-11-10   0 days

[130 rows x 10 columns]",Healthcare
AAL,15/11/2012,11/11/2022,3648 days,37.04292528,4520.381112,13272.01859,-65.2278376,30.876917,-10.03983698,19.17036304,0,0,0,-68.26741025,-68.26741025,3599 days,3599 days,131,22.13740458,12.37687087,-4.208416834,-0.804781952,51 days,10 days,0.791275399,-0.623192164,-1.750742744,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   4529.428692     0.658723              NaT
2022-11-08   4529.428692     0.658723              NaT
2022-11-09   4529.428692     0.658723              NaT
2022-11-10   4529.428692     0.658723              NaT
2022-11-11   4520.381112     0.659405        3599 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -988        31       33   13.153169  13.706709  -546.897704  -0.042084 2013-01-02 2013-01-04   2 days
1    -898        33       36   13.858807  14.442044  -523.746269  -0.042084 2013-01-04 2013-01-09   5 days
2    -870        74       76   13.708270  14.285171  -501.903999  -0.042084 2013-03-06 2013-03-08   2 days
3     778        93      118   14.670058  16.397670  1344.081858   0.117764 2013-04-03 2013-05-08  35 days
4    -764       120      123   16.709605  17.412815  -537.252323  -0.042084 2013-05-10 2013-05-15   5 days
..    ...       ...      ...         ...        ...          ...        ...        ...        ...      ...
126   402      2409     2410   13.346640  12.787200  -224.894875  -0.041916 2022-06-13 2022-06-14   1 days
127   374      2457     2464   13.737420  13.161600  -215.356681  -0.041916 2022-08-22 2022-08-31   9 days
128   387      2479     2480   12.735420  12.201600  -206.588341  -0.041916 2022-09-22 2022-09-23   1 days
129   386      2480     2486   12.234420  11.721600  -197.948521  -0.041916 2022-09-23 2022-10-03  10 days
130  -303      2514     2514   14.900140  14.930000    -9.047580  -0.002004 2022-11-10 2022-11-10   0 days

[131 rows x 10 columns]",Industrials
AAP,15/11/2012,11/11/2022,3648 days,50.55643879,3816.223444,14512.33809,-70.64443505,155.8365219,-11.5527333,17.68338442,0,0,0,-79.88348217,-15.22039934,3089 days,509 days,131,21.3740458,20.31061296,-4.208416834,-0.937134145,117 days,14 days,0.675334921,-0.813740462,-2.164597893,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   3520.317766     0.757426              NaT
2022-11-08   3528.417711     0.756868              NaT
2022-11-09   3659.637590     0.747826              NaT
2022-11-10   3816.223444     0.737036              NaT
2022-11-11   3816.223444     0.737036        3089 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -179        56       57   72.431271   74.232323  -322.388289  -0.024866 2013-02-07 2013-02-08   1 days
1    -171        57       79   74.083858   74.109978    -4.466464  -0.000353 2013-02-08 2013-03-13  33 days
2    -171        79       82   73.961758   75.925835  -335.857148  -0.026555 2013-03-13 2013-03-18   5 days
3    -162        82      109   75.773983   78.962868  -516.599379  -0.042084 2013-03-18 2013-04-25  38 days
4     155       149      230   76.227109   91.709302  2399.739918   0.203106 2013-06-21 2013-10-16 117 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
126    20      2481     2501  157.995353  176.601592   372.124783   0.117764 2022-09-26 2022-10-24  28 days
127   -20      2501     2502  176.266755  181.399994  -102.664775  -0.029122 2022-10-24 2022-10-25   1 days
128   -19      2502     2504  181.037194  188.655994  -144.757195  -0.042084 2022-10-25 2022-10-27   2 days
129   -18      2504     2513  187.703842  175.350006   222.369043   0.065816 2022-10-27 2022-11-09  13 days
130    20      2513     2514  175.700706  183.529999   156.585853   0.044560 2022-11-09 2022-11-10   1 days

[131 rows x 10 columns]",Consumer Cyclical
AAPL,15/11/2012,11/11/2022,3648 days,50.75516693,4339.994194,19249.41632,-66.61542928,827.2905826,-10.40601954,16.01374332,0,0,0,-79.84185725,-9.390421674,2671 days,211 days,148,24.32432432,11.98253247,-4.208416834,-0.747738088,63 days,13 days,0.721014406,-0.641643895,-1.269010062,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   4339.994194     0.774539              NaT
2022-11-08   4339.994194     0.774539              NaT
2022-11-09   4339.994194     0.774539              NaT
2022-11-10   4339.994194     0.774539              NaT
2022-11-11   4339.994194     0.774539        2671 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    -772        31       40   16.829096   14.924467  1470.373471   0.113175 2013-01-02 2013-01-15  13 days
1     967        40       46   14.954316   14.327488  -606.142306  -0.041916 2013-01-15 2013-01-24   9 days
2     999        46       47   13.864266   13.510407  -353.504553  -0.025523 2013-01-24 2013-01-25   1 days
3     998        47       71   13.537428   13.298448  -238.502692  -0.017653 2013-01-25 2013-03-01  35 days
4     996        71       82   13.325045   14.078488   750.430070   0.056543 2013-03-01 2013-03-18  17 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
143   -31      2425     2434  145.613158  151.741167  -189.968269  -0.042084 2022-07-07 2022-07-20  13 days
144   -28      2434     2441  152.269466  158.677600  -179.427748  -0.042084 2022-07-20 2022-07-29   9 days
145   -25      2441     2449  161.691776  168.496440  -170.116599  -0.042084 2022-07-29 2022-08-10  12 days
146    28      2484     2485  142.528522  137.971115  -127.607390  -0.031975 2022-09-29 2022-09-30   1 days
147    28      2485     2505  138.247057  154.527649   455.856564   0.117764 2022-09-30 2022-10-28  28 days

[148 rows x 10 columns]",Technology
ABBV,2/1/2013,11/11/2022,3600 days,58.83299799,12097.78616,19813.92362,-6.940106473,543.7575045,-0.726745723,18.69058143,0,0,0,-45.61896755,-5.651657293,2941 days,169 days,141,30.4964539,11.97402429,-4.208416834,-0.050951135,68 days,15 days,1.038037798,0.07838866,-0.101459937,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2013-01-02  13000.000000     0.000000              NaT
2013-01-03  13000.000000     0.000000              NaT
2013-01-04  13000.000000     0.000000              NaT
2013-01-07  13000.000000     0.000000              NaT
2013-01-08  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  12225.765773     0.382971              NaT
2022-11-08  12191.796351     0.384685              NaT
2022-11-09  12263.686641     0.381057              NaT
2022-11-10  12097.786158     0.389430              NaT
2022-11-11  12097.786158     0.389430        2941 days

[2485 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     465       117      145   27.906455   31.192844  1528.170860   0.117764 2013-06-20 2013-07-31  41 days
1     490       156      157   29.637681   29.434788   -99.417537  -0.006846 2013-08-15 2013-08-16   1 days
2     489       157      172   29.493657   30.413660   449.881332   0.031193 2013-08-16 2013-09-09  24 days
3    -490       172      178   30.352833   31.630206  -625.913124  -0.042084 2013-09-09 2013-09-17   8 days
4    -438       178      203   32.518451   33.886963  -599.408240  -0.042084 2013-09-17 2013-10-22  35 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
136    81      2427     2428  137.894914  136.520859  -111.298477  -0.009965 2022-08-23 2022-08-24   1 days
137    81      2428     2430  136.793900  134.976562  -147.204377  -0.013285 2022-08-24 2022-08-26   2 days
138    81      2430     2454  135.246516  132.858124  -193.459740  -0.017660 2022-08-26 2022-09-30  35 days
139    80      2454     2470  133.123840  148.801099  1254.180688   0.117764 2022-09-30 2022-10-24  24 days
140   -79      2470     2483  150.588219  149.720001    68.589235   0.005766 2022-10-24 2022-11-10  17 days

[141 rows x 10 columns]",Healthcare
ABC,15/11/2012,11/11/2022,3648 days,55.36565978,11351.76132,15175.03601,-12.67875905,345.5434659,-1.348741717,17.90320073,0,0,0,-46.1674151,-7.050469557,3346 days,383 days,143,30.76923077,11.82364729,-4.208416834,-0.094478422,57 days,14 days,1.008706096,0.01746485,-0.268683188,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07  11351.761323     0.251945              NaT
2022-11-08  11351.761323     0.251945              NaT
2022-11-09  11351.761323     0.251945              NaT
2022-11-10  11351.761323     0.251945              NaT
2022-11-11  11351.761323     0.251945        3346 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     279       132      135   46.569347   45.424408  -319.438116  -0.024586 2013-05-29 2013-06-03   5 days
1     278       135      162   45.515257   50.097916  1273.979167   0.100684 2013-06-03 2013-07-11  38 days
2    -279       162      182   49.997720   51.399956  -391.223825  -0.028046 2013-07-11 2013-08-08  28 days
3    -264       182      188   51.297156   48.921200   627.252394   0.046318 2013-08-08 2013-08-16   8 days
4     289       188      205   49.019042   52.348194   962.124906   0.067915 2013-08-16 2013-09-11  26 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
138    83      2473     2481  139.959796  135.931961  -334.310304  -0.028779 2022-09-14 2022-09-26  12 days
139    83      2481     2500  136.203825  147.277069   919.079261   0.081299 2022-09-26 2022-10-21  25 days
140   -83      2500     2501  146.982515  149.639801  -220.554744  -0.018079 2022-10-21 2022-10-24   3 days
141   -80      2501     2502  149.340521  152.301620  -236.887925  -0.019828 2022-10-24 2022-10-25   1 days
142   -77      2502     2505  151.997017  158.393685  -492.543441  -0.042084 2022-10-25 2022-10-28   3 days

[143 rows x 10 columns]",Healthcare
ABMD,15/11/2012,11/11/2022,3648 days,39.58664547,3986.429743,16214.82749,-69.33515582,2598.340545,-11.16533661,20.27528834,0,0,0,-77.32387318,-23.60656801,2094 days,507 days,144,20.83333333,19.13231588,-4.208416834,-0.837328985,47 days,10 days,0.776807923,-0.654878231,-1.362382191,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   3981.329646     0.754464              NaT
2022-11-08   3974.229731     0.754902              NaT
2022-11-09   3974.229731     0.754902              NaT
2022-11-10   3986.429743     0.754149              NaT
2022-11-11   3986.429743     0.754149        2094 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    1010        36       38   12.865680   12.326400  -544.672806  -0.041916 2013-01-09 2013-01-11   2 days
1    1014        38       48   12.274500   13.720000  1465.737000   0.117764 2013-01-11 2013-01-28  17 days
2   -1025        48       54   13.572800   14.144000  -585.480016  -0.042084 2013-01-28 2013-02-05   8 days
3    -908        60       68   14.680580   15.298400  -560.980561  -0.042084 2013-02-13 2013-02-26  13 days
4    -782        69       76   16.327281   17.014401  -537.327860  -0.042084 2013-02-27 2013-03-08   9 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
139    14      2456     2457  271.221353  261.350006  -138.198852  -0.036396 2022-08-19 2022-08-22   3 days
140    14      2457     2465  261.872706  250.896006  -153.673804  -0.041916 2022-08-22 2022-09-01  10 days
141   -13      2470     2479  281.715439  248.406399   433.017518   0.118236 2022-09-09 2022-09-22  13 days
142   -15      2487     2503  263.481990  274.570410  -166.326306  -0.042084 2022-10-04 2022-10-26  22 days
143   -10      2507     2514  377.064367  372.779999    42.843685   0.011362 2022-11-01 2022-11-10   9 days

[144 rows x 10 columns]",Healthcare
ABT,15/11/2012,11/11/2022,3648 days,63.43402226,9527.982929,16055.16155,-26.70782362,314.8276751,-3.064175562,16.19715968,0,0,0,-53.27422485,-9.043844144,2887 days,293 days,131,29.77099237,13.692728,-4.208416834,-0.237793793,79 days,18 days,0.935734578,-0.129632561,-0.593814625,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   9546.952790     0.405366              NaT
2022-11-08   9546.952790     0.405366              NaT
2022-11-09   9546.952790     0.405366              NaT
2022-11-10   9546.952790     0.405366              NaT
2022-11-11   9527.982929     0.406547        2887 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0     466        82       90   27.858487   29.348402   694.300399   0.053482 2013-03-18 2013-03-28  10 days
1    -467        90       94   29.289705   30.522338  -575.639557  -0.042084 2013-03-28 2013-04-04   7 days
2     437       116      123   29.961436   31.411312   633.596043   0.048391 2013-05-06 2013-05-15   9 days
3    -438       123      148   31.348489   29.334454   882.147723   0.064247 2013-05-15 2013-06-20  36 days
4     497       148      157   29.393122   28.161075  -612.327384  -0.041916 2013-06-20 2013-07-03  13 days
..    ...       ...      ...         ...         ...          ...        ...        ...        ...      ...
126    84      2409     2410  105.156044  102.003189  -264.839816  -0.029983 2022-06-13 2022-06-14   1 days
127    84      2410     2458  102.207195  105.512154   277.616485   0.032336 2022-06-14 2022-08-23  70 days
128    84      2458     2461  105.723178  101.291667  -372.246878  -0.041916 2022-08-23 2022-08-26   3 days
129   -79      2470     2499  107.754609   95.014084  1006.501472   0.118236 2022-09-09 2022-10-20  41 days
130   -91      2514     2514  104.021543  104.230003   -18.969861  -0.002004 2022-11-10 2022-11-10   0 days

[131 rows x 10 columns]",Healthcare
ACGL,15/11/2012,11/11/2022,3648 days,59.57869634,4519.803688,13124.08034,-65.23227932,298.3859681,-10.040988,13.83220978,0,0,0,-70.29428983,-35.15842521,3584 days,1793 days,138,24.63768116,13.51583804,-4.208416834,-0.764516363,61 days,16 days,0.656468196,-0.683457188,-2.635171205,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   4551.003945     0.653233              NaT
2022-11-08   4574.203713     0.651465              NaT
2022-11-09   4587.003700     0.650490              NaT
2022-11-10   4519.803688     0.655610              NaT
2022-11-11   4519.803688     0.655610        3584 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -866        39       44   14.996613  15.226667 -199.226847  -0.015340 2013-01-14 2013-01-22   8 days
1    -842        44       56   15.196214  15.835734 -538.475866  -0.042084 2013-01-22 2013-02-07  16 days
2    -690       162      168   17.751094  18.498134 -515.457606  -0.042084 2013-07-11 2013-07-19   8 days
3    -643       219      220   18.263399  18.373333  -70.687394  -0.006019 2013-10-01 2013-10-02   1 days
4    -636       220      226   18.336586  18.586666 -159.050750  -0.013638 2013-10-02 2013-10-10   8 days
..    ...       ...      ...         ...        ...         ...        ...        ...        ...      ...
133   109      2481     2487   41.753338  46.670398  535.959516   0.117764 2022-09-26 2022-10-04   8 days
134  -104      2487     2504   48.592619  50.637599 -212.677914  -0.042084 2022-10-04 2022-10-27  23 days
135   -94      2504     2505   51.586619  53.757599 -204.072115  -0.042084 2022-10-27 2022-10-28   1 days
136   -82      2505     2506   56.566640  57.500000  -76.535495  -0.016500 2022-10-28 2022-10-31   3 days
137   -80      2506     2514   57.385000  58.400002  -81.200122  -0.017688 2022-10-31 2022-11-10  10 days

[138 rows x 10 columns]",Financial Services
ACN,15/11/2012,11/11/2022,3648 days,71.62162162,8932.995116,14874.53238,-31.28465295,439.1880516,-3.688206825,16.19824922,0,0,0,-50.52845141,-8.796905117,2475 days,273 days,131,32.0610687,11.90575839,-4.208416834,-0.290983392,105 days,20 days,0.904716349,-0.190986316,-0.74483104,MeanReversion,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-11-15  13000.000000     0.000000              NaT
2012-11-16  13000.000000     0.000000              NaT
2012-11-19  13000.000000     0.000000              NaT
2012-11-20  13000.000000     0.000000              NaT
2012-11-21  13000.000000     0.000000              NaT
...                  ...          ...              ...
2022-11-07   8355.291574     0.438282              NaT
2022-11-08   8354.051309     0.438365              NaT
2022-11-09   8273.761422     0.443763              NaT
2022-11-10   8911.741006     0.400873              NaT
2022-11-11   8932.995116     0.399444        2475 days

[2516 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    -219        45       47   59.230130   60.148468 -201.116090  -0.015505 2013-01-23 2013-01-25   2 days
1    -213        47       52   60.028171   61.472889 -307.724905  -0.024067 2013-01-25 2013-02-01   7 days
2    -203        52       63   61.349943   62.805641 -295.506695  -0.023728 2013-02-01 2013-02-19  18 days
3    -194        63       73   62.680030   64.071732 -269.990125  -0.022203 2013-02-19 2013-03-05  14 days
4    -186        73       74   63.943588   64.479881  -99.750532  -0.008387 2013-03-05 2013-03-06   1 days
..    ...       ...      ...         ...         ...         ...        ...        ...        ...      ...
126    31      2409     2430  274.848802  263.328193 -357.138862  -0.041916 2022-06-13 2022-07-14  31 days
127   -28      2435     2440  286.161454  298.204321 -337.200271  -0.042084 2022-07-21 2022-07-28   7 days
128   -25      2449     2461  314.448730  296.810120  440.965263   0.056094 2022-08-10 2022-08-26  16 days
129    28      2461     2465  297.403740  284.937715 -349.048701  -0.041916 2022-08-26 2022-09-01   6 days
130    31      2509     2515  257.393765  287.705605  939.667058   0.117764 2022-11-03 2022-11-11   8 days

[131 rows x 10 columns]",Technology
